,precision,recall,f1-score,support
cs_AI,0.2727272727272727,0.3,0.2857142857142857,10.0
cs_CE,0.0,0.0,0.0,10.0
cs_DS,0.5,0.2,0.2857142857142857,10.0
cs_IT,0.1891891891891892,0.7,0.2978723404255319,10.0
cs_NE,0.0,0.0,0.0,10.0
cs_PL,0.4,0.2,0.26666666666666666,10.0
cs_SY,0.0,0.0,0.0,10.0
cs_cv,0.35294117647058826,0.6,0.4444444444444444,10.0
math_AC,0.5625,0.9,0.6923076923076923,10.0
math_GR,0.42857142857142855,0.3,0.35294117647058826,10.0
math_ST,0.07692307692307693,0.1,0.08695652173913043,10.0
accuracy,0.3,0.3,0.3,0.3
macro avg,0.2529865585346869,0.3,0.24660158304387503,110.0
weighted avg,0.2529865585346869,0.3,0.24660158304387503,110.0
macro_f1,,,0.24660158304387503,
