,precision,recall,f1-score,support
cs_AI,0.5,0.9,0.6428571428571429,10.0
cs_CE,0.4,0.2,0.26666666666666666,10.0
cs_DS,0.875,0.7,0.7777777777777778,10.0
cs_IT,0.5833333333333334,0.7,0.6363636363636364,10.0
cs_NE,0.7777777777777778,0.7,0.7368421052631579,10.0
cs_PL,0.0,0.0,0.0,10.0
cs_SY,0.5833333333333334,0.7,0.6363636363636364,10.0
cs_cv,0.7142857142857143,1.0,0.8333333333333334,10.0
math_AC,0.6428571428571429,0.9,0.75,10.0
math_GR,0.875,0.7,0.7777777777777778,10.0
math_ST,0.6,0.6,0.6,10.0
accuracy,0.6454545454545455,0.6454545454545455,0.6454545454545455,0.6454545454545455
macro avg,0.5955988455988456,0.6454545454545455,0.6052710978548299,110.0
weighted avg,0.5955988455988457,0.6454545454545455,0.60527109785483,110.0
macro_f1,,,0.6052710978548299,
