,precision,recall,f1-score,support
cs_AI,0.5,0.2,0.2857142857142857,10.0
cs_CE,0.5,0.2,0.2857142857142857,10.0
cs_DS,0.8333333333333334,0.5,0.625,10.0
cs_IT,0.5,0.4,0.4444444444444444,10.0
cs_NE,0.3333333333333333,0.2,0.25,10.0
cs_PL,0.5,0.8,0.6153846153846154,10.0
cs_SY,0.5,0.4,0.4444444444444444,10.0
cs_cv,0.5882352941176471,1.0,0.7407407407407407,10.0
math_AC,0.0,0.0,0.0,10.0
math_GR,0.43478260869565216,1.0,0.6060606060606061,10.0
math_ST,0.5294117647058824,0.9,0.6666666666666666,10.0
accuracy,0.509090909090909,0.509090909090909,0.509090909090909,0.509090909090909
macro avg,0.4744633031078044,0.5090909090909091,0.45128818992455355,110.0
weighted avg,0.4744633031078044,0.509090909090909,0.4512881899245535,110.0
macro_f1,,,0.45128818992455355,
