,precision,recall,f1-score,support
cs_AI,0.6785714285714286,0.44333333333333336,0.5362903225806451,300.0
cs_CE,0.8057553956834532,0.7542087542087542,0.7791304347826087,297.0
cs_DS,0.8327645051194539,0.8133333333333334,0.8229342327150084,300.0
cs_IT,0.8327137546468402,0.7542087542087542,0.7915194346289752,297.0
cs_NE,0.6964856230031949,0.7266666666666667,0.7112561174551386,300.0
cs_PL,0.813953488372093,0.9395973154362416,0.8722741433021807,298.0
cs_SY,0.8098159509202454,0.8888888888888888,0.8475120385232745,297.0
cs_cv,0.721763085399449,0.8791946308724832,0.7927382753403933,298.0
math_AC,0.9411764705882353,0.9664429530201343,0.9536423841059603,298.0
math_GR,0.9590443686006825,0.9461279461279462,0.9525423728813559,297.0
math_ST,0.8205980066445183,0.8233333333333334,0.8219633943427621,300.0
accuracy,0.812004875076173,0.812004875076173,0.812004875076173,0.812004875076173
macro avg,0.810240188868145,0.8123032644936246,0.8074366500598456,3282.0
weighted avg,0.8100599782957357,0.812004875076173,0.8071881544026647,3282.0
macro_f1,,,0.8074366500598456,
