,precision,recall,f1-score,support
cs_AI,0.6820512820512821,0.44333333333333336,0.5373737373737374,300.0
cs_CE,0.7935943060498221,0.7508417508417509,0.7716262975778547,297.0
cs_DS,0.8269896193771626,0.7966666666666666,0.8115449915110357,300.0
cs_IT,0.8127340823970037,0.7306397306397306,0.7695035460992907,297.0
cs_NE,0.6956521739130435,0.64,0.6666666666666666,300.0
cs_PL,0.8157894736842105,0.9362416107382551,0.871875,298.0
cs_SY,0.7784431137724551,0.8754208754208754,0.8240887480190174,297.0
cs_cv,0.6838046272493573,0.8926174496644296,0.7743813682678311,298.0
math_AC,0.9028213166144201,0.9664429530201343,0.93354943273906,298.0
math_GR,0.9608540925266904,0.9090909090909091,0.9342560553633218,297.0
math_ST,0.8220064724919094,0.8466666666666667,0.8341543513957307,300.0
accuracy,0.7985984156002438,0.7985984156002438,0.7985984156002438,0.7985984156002438
macro avg,0.7977036872843052,0.7989056314620684,0.7935472904557769,3282.0
weighted avg,0.7975565083543183,0.7985984156002438,0.7933114024865544,3282.0
macro_f1,,,0.7935472904557769,
